Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.02    8642/8642        given_clause_ok [81]
                0.00    0.00    8641/8641        post_proc_all [197]
-----------------------------------------------
                0.00   20.44    8642/8642        infer_and_process [2]
[3]     87.4    0.00   20.44    8642         hyper_res [3]
                0.13   20.27   43469/43469       clash [4]
                0.00    0.01    8642/63703       build_tree [50]
                0.01    0.00   52156/2347499     next_term [25]
                0.01    0.00   52372/4256836     free_context [22]
                0.01    0.00   43515/2113099     unify [27]
                0.00    0.00   52157/2190941     pos_clause [63]
                0.00    0.00    8642/2078226     maximal_lit [39]
                0.00    0.00   43205/2112560     get_literal [69]
                0.00    0.00   43205/2092327     free_literal [91]
                0.00    0.00   43468/4153293     clear_subst_1 [103]
                0.00    0.00    8642/2179478     num_literals [90]
                0.00    0.00   35092/35092       get_clash_nd [166]
                0.00    0.00   52376/4256840     get_context [163]
                0.00    0.00   35090/35090       free_clash_nd [187]
-----------------------------------------------
                0.13   20.27   43469/43469       hyper_res [3]
[4]     87.2    0.13   20.27   43469         clash [4]
                0.02   18.40 2069334/2069334     pre_process [5]
                0.15    0.53 2069334/2069334     build_hyper [23]
                0.39    0.10 2173627/2347499     next_term [25]
                0.25    0.10 2069584/2113099     unify [27]
                0.00    0.19 2069584/2078226     maximal_lit [39]
                0.06    0.00 2138784/2190941     pos_clause [63]
                0.01    0.05   34845/63703       build_tree [50]
                0.00    0.00   34845/2104178     apply [26]
                0.00    0.00 2060708/4153293     clear_subst_1 [103]
                0.00    0.00   34845/2084186     zap_term [37]
                0.00    0.00 2069334/4138668     heat_is_on [170]
-----------------------------------------------
                0.02   18.40 2069334/2069334     clash [4]
[5]     78.8    0.02   18.40 2069334         pre_process [5]
                0.02   17.93 2069334/2069334     proc_gen [6]
                0.03    0.23 2049117/2049122     cl_del_non [34]
                0.00    0.09   20217/20225       index_lits_all [52]
                0.00    0.07   20217/20217       check_for_proof [61]
                0.00    0.02   20217/20220       weight_cl [78]
                0.00    0.01   20217/20227       cl_integrate [82]
                0.00    0.00 2069334/4138668     heat_is_on [170]
                0.00    0.00   20217/28859       append_cl [189]
                0.00    0.00       1/25931       splitting [191]
                0.00    0.00       1/1           cleanup [228]
                0.00    0.00       1/2069390     multi_justifications [172]
-----------------------------------------------
                0.02   17.93 2069334/2069334     pre_process [5]
[6]     76.8    0.02   17.93 2069334         proc_gen [6]
                0.03   13.91 2069334/2069334     demod_cl [7]
                0.10    3.30 2069334/2069334     forward_subsume [13]
                0.47    0.10 2089551/2089551     renumber_vars [24]
                0.01    0.00 2069334/2069334     cl_merge [92]
                0.01    0.00 2069334/2069334     tautology [93]
                0.00    0.00 2069334/2069334     lit_t_f_reduce [173]
-----------------------------------------------
                0.03   13.91 2069334/2069334     proc_gen [6]
[7]     59.6    0.03   13.91 2069334         demod_cl [7]
                0.47   12.95 2069333/2069333     demod <cycle 2> [9]
                0.36    0.00 2069334/4256836     free_context [22]
                0.12    0.00 2069333/2120061     un_share_special [44]
                0.01    0.00 2069333/10338063     get_ilist [65]
                0.00    0.00 2069334/4256840     get_context [163]
-----------------------------------------------
[8]     57.4    0.47   12.95 2069333+16597510 <cycle 2 as a whole> [8]
                0.23   12.93 2094697+16614233     demod <cycle 2> [9]
                0.24    0.02 16546782             contract_imd <cycle 2> [35]
                0.00    0.01   25364             convenient_demod <cycle 2> [104]
-----------------------------------------------
                             16614233             demod <cycle 2> [9]
                               25364             convenient_demod <cycle 2> [104]
                0.47   12.95 2069333/2069333     demod_cl [7]
[9]     56.3    0.23   12.93 2094697+16614233 demod <cycle 2> [9]
                0.15   11.48 16521418/16521418     dollar_contract [10]
                1.30    0.00 16622874/33144313     sn_to_ec [14]
                             16546782             contract_imd <cycle 2> [35]
                             16614233             demod <cycle 2> [9]
-----------------------------------------------
                0.15   11.48 16521418/16521418     demod <cycle 2> [9]
[10]    49.7    0.15   11.48 16521418         dollar_contract [10]
                2.64    6.94 2103338/2103656     str_to_sn [11]
                1.29    0.00 16521418/33144313     sn_to_ec [14]
                0.24    0.00 4147307/4147307     bits_ulong [36]
                0.13    0.00 4147307/4173882     sn_to_str [42]
                0.13    0.00 2077974/2077974     ulong_bits [43]
                0.07    0.04 2103338/2154066     zap_term_special [45]
                0.01    0.00 2103338/20985043     get_term [54]
-----------------------------------------------
                0.00    0.00       2/2103656     clause_to_term [124]
                0.00    0.00       3/2103656     term_fixup [32]
                0.00    0.00       6/2103656     str_to_list <cycle 1> [135]
                0.00    0.00      21/2103656     seq_to_term [131]
                0.00    0.00      25/2103656     declare_op [127]
                0.00    0.00      30/2103656     literals_to_term [125]
                0.00    0.00      40/2103656     next_token_type [122]
                0.00    0.00      45/2103656     str_to_args <cycle 1> [121]
                0.00    0.00      49/2103656     write_term [120]
                0.00    0.00      97/2103656     str_to_sequence <cycle 1> [116]
                2.64    6.94 2103338/2103656     dollar_contract [10]
[11]    41.0    2.64    6.94 2103656         str_to_sn [11]
                6.93    0.00 676835057/676872716     str_ident [12]
                0.00    0.01     574/641         insert_sym [86]
-----------------------------------------------
                0.00    0.00       1/676872716     read_list [67]
                0.00    0.00       3/676872716     set_wt_template [155]
                0.00    0.00       8/676872716     str_to_term <cycle 1> [129]
                0.00    0.00      16/676872716     process_linked_tags [154]
                0.00    0.00      18/676872716     is_eq [151]
                0.00    0.00      20/676872716     change_parm [160]
                0.00    0.00      38/676872716     next_token_type [122]
                0.00    0.00      68/676872716     read_a_file [30]
                0.00    0.00     144/676872716     change_flag [150]
